brand_name,parent_company_name,id,validated,submission_type,submission_id,year,item_description,type_product,type_material,layer,name_of_lead,is_trained,organization,volunteer,start_of_audit,end_of_audit,time_spent,city,province,country,continent,type_of_audit,specifics_of_audit,event_total_count,event_id,longitude_most_specific,latitude_most_specific,location_specificity,total_count,proportion
budweiser,anheuser-busch inbev,q128738,false,Excel Template Old,220,2018,null,null,o,null,27,null,536,15,2018-09-16,2018-09-16,,new york,ny,united states of america,north america,outdoor,inland,1074,Excel Template Old_220_2018,-74.0060152,40.7127281,city,4,0.0037243947858473
calsberg,calsberg,calsberg,false,Excel Template Old,220,2018,null,null,o,null,27,null,536,15,2018-09-16,2018-09-16,,new york,ny,united states of america,north america,outdoor,inland,1074,Excel Template Old_220_2018,-74.0060152,40.7127281,city,1,0.000931098696461825
canada dry,jab holding company,q1691896,false,Excel Template Old,220,2018,null,null,o,null,27,null,536,15,2018-09-16,2018-09-16,,new york,ny,united states of america,north america,outdoor,inland,1074,Excel Template Old_220_2018,-74.0060152,40.7127281,city,4,0.0037243947858473
canada dry,jab holding company,q1691896,false,Excel Template Old,220,2018,null,null,pet,null,27,null,536,15,2018-09-16,2018-09-16,,new york,ny,united states of america,north america,outdoor,inland,1074,Excel Template Old_220_2018,-74.0060152,40.7127281,city,1,0.000931098696461825
chatwal spring water,chatwal spring water,chatwal spring water,false,Excel Template Old,220,2018,null,null,pet,null,27,null,536,15,2018-09-16,2018-09-16,,new york,ny,united states of america,north america,outdoor,inland,1074,Excel Template Old_220_2018,-74.0060152,40.7127281,city,1,0.000931098696461825
cheetos,pepsico,q334800,true,Excel Template 2020,10,2021,chips bag,food packaging,pp,single-layer,71,no,258,12,2021-04-14,2021-04-24,2,bronx,new york,united states of america,north america,outdoor,coastal,905,Excel Template 2020_10_2021,-73.8785937,40.8466508,city,2,0.00220994475138122
cheyenne tobacco,cheyenne tobacco,cheyenne tobacco,false,Excel Template Old,220,2018,null,null,o,null,27,null,536,15,2018-09-16,2018-09-16,,new york,ny,united states of america,north america,outdoor,inland,1074,Excel Template Old_220_2018,-74.0060152,40.7127281,city,1,0.000931098696461825
chipotle,chipotle,chipotle,false,Excel Template Old,220,2018,null,null,o,null,27,null,536,15,2018-09-16,2018-09-16,,new york,ny,united states of america,north america,outdoor,inland,1074,Excel Template Old_220_2018,-74.0060152,40.7127281,city,3,0.00279329608938548
chipotle,chipotle,chipotle,false,Excel Template Old,220,2018,null,null,ps,null,27,null,536,15,2018-09-16,2018-09-16,,new york,ny,united states of america,north america,outdoor,inland,1074,Excel Template Old_220_2018,-74.0060152,40.7127281,city,1,0.000931098696461825
claritin,bayer,q152051,false,Excel Template Old,220,2018,null,null,null,null,27,null,536,15,2018-09-16,2018-09-16,,new york,ny,united states of america,north america,outdoor,inland,1074,Excel Template Old_220_2018,-74.0060152,40.7127281,city,1,0.000931098696461825
clif bar,clif bar,q5132493,false,Excel Template Old,220,2018,null,null,null,null,27,null,536,15,2018-09-16,2018-09-16,,new york,ny,united states of america,north america,outdoor,inland,1074,Excel Template Old_220_2018,-74.0060152,40.7127281,city,1,0.000931098696461825
coca cola,the coca-cola company,q3295867,true,Excel Template Old,220,2018,null,null,o,null,27,null,536,15,2018-09-16,2018-09-16,,new york,ny,united states of america,north america,outdoor,inland,1074,Excel Template Old_220_2018,-74.0060152,40.7127281,city,1,0.000931098696461825
coca cola,the coca-cola company,q3295867,true,Excel Template Old,220,2018,null,null,pp,null,27,null,536,15,2018-09-16,2018-09-16,,new york,ny,united states of america,north america,outdoor,inland,1074,Excel Template Old_220_2018,-74.0060152,40.7127281,city,2,0.00186219739292365
colgate,colgate-palmolive company,q609466,true,Excel Template Old,220,2018,null,null,pp,null,27,null,536,15,2018-09-16,2018-09-16,,new york,ny,united states of america,north america,outdoor,inland,1074,Excel Template Old_220_2018,-74.0060152,40.7127281,city,2,0.00186219739292365
coors,molson coors brewing company,q3319685,false,Excel Template Old,220,2018,null,null,o,null,27,null,536,15,2018-09-16,2018-09-16,,new york,ny,united states of america,north america,outdoor,inland,1074,Excel Template Old_220_2018,-74.0060152,40.7127281,city,3,0.00279329608938548
corona,anheuser-busch inbev,q128738,true,Excel Template Old,220,2018,null,null,o,null,27,null,536,15,2018-09-16,2018-09-16,,new york,ny,united states of america,north america,outdoor,inland,1074,Excel Template Old_220_2018,-74.0060152,40.7127281,city,12,0.0111731843575419
crystal,the coca-cola company,q3295867,true,Excel Template Old,220,2018,null,null,pet,null,27,null,536,15,2018-09-16,2018-09-16,,new york,ny,united states of america,north america,outdoor,inland,1074,Excel Template Old_220_2018,-74.0060152,40.7127281,city,1,0.000931098696461825
dart,dart container,q5225569,true,Excel Template Old,220,2018,null,null,ps,null,27,null,536,15,2018-09-16,2018-09-16,,new york,ny,united states of america,north america,outdoor,inland,1074,Excel Template Old_220_2018,-74.0060152,40.7127281,city,4,0.0037243947858473
dial,dial,dial,false,Excel Template Old,220,2018,null,null,hdpe,null,27,null,536,15,2018-09-16,2018-09-16,,new york,ny,united states of america,north america,outdoor,inland,1074,Excel Template Old_220_2018,-74.0060152,40.7127281,city,1,0.000931098696461825
dopaco,dopaco,dopaco,false,Excel Template Old,220,2018,null,null,ps,null,27,null,536,15,2018-09-16,2018-09-16,,new york,ny,united states of america,north america,outdoor,inland,1074,Excel Template Old_220_2018,-74.0060152,40.7127281,city,3,0.00279329608938548
doritos,pepsico,q334800,true,Excel Template Old,220,2018,null,null,null,null,27,null,536,15,2018-09-16,2018-09-16,,new york,ny,united states of america,north america,outdoor,inland,1074,Excel Template Old_220_2018,-74.0060152,40.7127281,city,2,0.00186219739292365
dove,"mars, incorporated",q695087,true,Excel Template Old,220,2018,null,null,null,null,27,null,536,15,2018-09-16,2018-09-16,,new york,ny,united states of america,north america,outdoor,inland,1074,Excel Template Old_220_2018,-74.0060152,40.7127281,city,1,0.000931098696461825
dunhill,british american tobacco,q856411,true,Excel Template Old,220,2018,null,null,null,null,27,null,536,15,2018-09-16,2018-09-16,,new york,ny,united states of america,north america,outdoor,inland,1074,Excel Template Old_220_2018,-74.0060152,40.7127281,city,2,0.00186219739292365
dunkin donuts,inspire brands,q55074808,true,Excel Template Old,220,2018,null,null,null,null,27,null,536,15,2018-09-16,2018-09-16,,new york,ny,united states of america,north america,outdoor,inland,1074,Excel Template Old_220_2018,-74.0060152,40.7127281,city,2,0.00186219739292365
dunkin donuts,inspire brands,q55074808,true,Excel Template Old,220,2018,null,null,ps,null,27,null,536,15,2018-09-16,2018-09-16,,new york,ny,united states of america,north america,outdoor,inland,1074,Excel Template Old_220_2018,-74.0060152,40.7127281,city,1,0.000931098696461825
eco product,waddington group,waddington group,false,Excel Template Old,220,2018,null,null,pp,null,27,null,536,15,2018-09-16,2018-09-16,,new york,ny,united states of america,north america,outdoor,inland,1074,Excel Template Old_220_2018,-74.0060152,40.7127281,city,1,0.000931098696461825
ecosmart,ecosmart,ecosmart,false,Excel Template Old,220,2018,null,null,pet,null,27,null,536,15,2018-09-16,2018-09-16,,new york,ny,united states of america,north america,outdoor,inland,1074,Excel Template Old_220_2018,-74.0060152,40.7127281,city,1,0.000931098696461825
energizer,energizer,energizer,false,Excel Template Old,220,2018,null,null,null,null,27,null,536,15,2018-09-16,2018-09-16,,new york,ny,united states of america,north america,outdoor,inland,1074,Excel Template Old_220_2018,-74.0060152,40.7127281,city,1,0.000931098696461825
ensure,abbott laboratories,q306764,false,Excel Template Old,220,2018,null,null,pet,null,27,null,536,15,2018-09-16,2018-09-16,,new york,ny,united states of america,north america,outdoor,inland,1074,Excel Template Old_220_2018,-74.0060152,40.7127281,city,1,0.000931098696461825
ensure,abbott laboratories,q306764,false,Excel Template Old,220,2018,null,null,pp,null,27,null,536,15,2018-09-16,2018-09-16,,new york,ny,united states of america,north america,outdoor,inland,1074,Excel Template Old_220_2018,-74.0060152,40.7127281,city,1,0.000931098696461825
entenmannâ€™s,entenmannâ€™s,entenmannâ€™s,false,Excel Template Old,220,2018,null,null,null,null,27,null,536,15,2018-09-16,2018-09-16,,new york,ny,united states of america,north america,outdoor,inland,1074,Excel Template Old_220_2018,-74.0060152,40.7127281,city,1,0.000931098696461825
entourage,entourage,entourage,false,Excel Template Old,220,2018,null,null,null,null,27,null,536,15,2018-09-16,2018-09-16,,new york,ny,united states of america,north america,outdoor,inland,1074,Excel Template Old_220_2018,-74.0060152,40.7127281,city,1,0.000931098696461825
essentia,"essentia, essentia water, llc","essentia, essentia water, llc",false,Excel Template Old,220,2018,null,null,pet,null,27,null,536,15,2018-09-16,2018-09-16,,new york,ny,united states of america,north america,outdoor,inland,1074,Excel Template Old_220_2018,-74.0060152,40.7127281,city,1,0.000931098696461825
ez seal,ez seal,ez seal,false,Excel Template Old,220,2018,null,null,ps,null,27,null,536,15,2018-09-16,2018-09-16,,new york,ny,united states of america,north america,outdoor,inland,1074,Excel Template Old_220_2018,-74.0060152,40.7127281,city,1,0.000931098696461825
fedex,fedex,fedex,false,Excel Template Old,220,2018,null,null,o,null,27,null,536,15,2018-09-16,2018-09-16,,new york,ny,united states of america,north america,outdoor,inland,1074,Excel Template Old_220_2018,-74.0060152,40.7127281,city,1,0.000931098696461825
fiber one,fiber one,fiber one,false,Excel Template Old,220,2018,null,null,null,null,27,null,536,15,2018-09-16,2018-09-16,,new york,ny,united states of america,north america,outdoor,inland,1074,Excel Template Old_220_2018,-74.0060152,40.7127281,city,1,0.000931098696461825
fiji,the wonderful company,q7360876,false,Excel Template Old,220,2018,null,null,pet,null,27,null,536,15,2018-09-16,2018-09-16,,new york,ny,united states of america,north america,outdoor,inland,1074,Excel Template Old_220_2018,-74.0060152,40.7127281,city,1,0.000931098696461825
fiji,the wonderful company,q7360876,false,Excel Template Old,220,2018,null,null,pp,null,27,null,536,15,2018-09-16,2018-09-16,,new york,ny,united states of america,north america,outdoor,inland,1074,Excel Template Old_220_2018,-74.0060152,40.7127281,city,1,0.000931098696461825
fineline,"neo corporate co.,ltd.","neo corporate co.,ltd.",false,Excel Template Old,220,2018,null,null,pp,null,27,null,536,15,2018-09-16,2018-09-16,,new york,ny,united states of america,north america,outdoor,inland,1074,Excel Template Old_220_2018,-74.0060152,40.7127281,city,1,0.000931098696461825
four local,four brewing co.,four brewing co.,false,Excel Template Old,220,2018,null,null,o,null,27,null,536,15,2018-09-16,2018-09-16,,new york,ny,united states of america,north america,outdoor,inland,1074,Excel Template Old_220_2018,-74.0060152,40.7127281,city,1,0.000931098696461825
gatorade,pepsico,q334800,true,Excel Template Old,220,2018,null,null,pet,null,27,null,536,15,2018-09-16,2018-09-16,,new york,ny,united states of america,north america,outdoor,inland,1074,Excel Template Old_220_2018,-74.0060152,40.7127281,city,4,0.0037243947858473
gatorade,pepsico,q334800,true,Excel Template Old,220,2018,null,null,pp,null,27,null,536,15,2018-09-16,2018-09-16,,new york,ny,united states of america,north america,outdoor,inland,1074,Excel Template Old_220_2018,-74.0060152,40.7127281,city,2,0.00186219739292365
golden bowl,golden bowl,golden bowl,false,Excel Template Old,220,2018,null,null,null,null,27,null,536,15,2018-09-16,2018-09-16,,new york,ny,united states of america,north america,outdoor,inland,1074,Excel Template Old_220_2018,-74.0060152,40.7127281,city,1,0.000931098696461825
grandma's,pepsico,q334800,false,Excel Template Old,220,2018,null,null,null,null,27,null,536,15,2018-09-16,2018-09-16,,new york,ny,united states of america,north america,outdoor,inland,1074,Excel Template Old_220_2018,-74.0060152,40.7127281,city,1,0.000931098696461825
gregoryâ€™s coffee,gregoryâ€™s coffee,gregoryâ€™s coffee,false,Excel Template Old,220,2018,null,null,null,null,27,null,536,15,2018-09-16,2018-09-16,,new york,ny,united states of america,north america,outdoor,inland,1074,Excel Template Old_220_2018,-74.0060152,40.7127281,city,1,0.000931098696461825
haagen dazs,general mills,q629998,false,Excel Template Old,220,2018,null,null,null,null,27,null,536,15,2018-09-16,2018-09-16,,new york,ny,united states of america,north america,outdoor,inland,1074,Excel Template Old_220_2018,-74.0060152,40.7127281,city,1,0.000931098696461825
halls,mondelez international,q12857502,true,Excel Template Old,220,2018,null,null,null,null,27,null,536,15,2018-09-16,2018-09-16,,new york,ny,united states of america,north america,outdoor,inland,1074,Excel Template Old_220_2018,-74.0060152,40.7127281,city,1,0.000931098696461825
happy baby,happy baby,happy baby,false,Excel Template Old,220,2018,null,null,null,null,27,null,536,15,2018-09-16,2018-09-16,,new york,ny,united states of america,north america,outdoor,inland,1074,Excel Template Old_220_2018,-74.0060152,40.7127281,city,1,0.000931098696461825
hd,hd,hd,false,Excel Template Old,220,2018,null,null,pp,null,27,null,536,15,2018-09-16,2018-09-16,,new york,ny,united states of america,north america,outdoor,inland,1074,Excel Template Old_220_2018,-74.0060152,40.7127281,city,2,0.00186219739292365
