city,province,country,continent,latitude_specific,longitude_specific,latitude_country,longitude_country,latitude_state,longitude_state
mexico city,mexico city,mexico,north america,,,23.6585116,-102.0077097,19.4326296,-99.1331785
saltillo,coahuila,mexico,north america,25.4230425,-100.9927509,23.6585116,-102.0077097,27.3333331,-102.0000001
bombas/bombinhas,santa catarina,brazil,south america,,,-10.3333333,-53.2,-27.0628367,-51.114965
melbourne,vic,australia,oceania,-37.8142176,144.9631608,-24.7761086,134.755,-36.5986096,144.6780052
chicago - pilsen (southwest of the loop),il,united states of america,north america,,,39.7837304,-100.445882,40.0796606,-89.4337288
chicago - old town (central),il,united states of america,north america,,,39.7837304,-100.445882,40.0796606,-89.4337288
chicago - calumet beach (southside of chicago),il,united states of america,north america,,,39.7837304,-100.445882,40.0796606,-89.4337288
chicago - avondale (northwest of the city),il,united states of america,north america,,,39.7837304,-100.445882,40.0796606,-89.4337288
sã£o carlos,sã£o paulo,brazil,south america,,,-10.3333333,-53.2,,
tagbilaran city,bohol,philippines,asia,,,12.7503486,122.7312101,9.833333,124.1615579
durban,kwa zulu natal,south africa,africa,,,-28.8166236,24.991639,,
sochi,krasnodar region,russian federation,europe,43.5854823,39.723109,64.6863136,97.7453061,45.7684014,39.0261044
sã£o sebastiã£o,maresias / sã£o paulo,brazil,south america,,,-10.3333333,-53.2,,
san francisco,ca,united states of america,north america,37.7790262,-122.419906,39.7837304,-100.445882,36.7014631,-118.755997
los angeles,califonia,united states of america,north america,,,39.7837304,-100.445882,,
garapan,"saipan, northern mariana islands",united states minor outlying islands,north america,,,,,,
washington,dc,united states of america,north america,38.8950368,-77.0365427,39.7837304,-100.445882,38.89384735,-76.9880428191095
westchester,california,united states of america,north america,33.9597349,-118.400632,39.7837304,-100.445882,36.7014631,-118.755997
alexandria,virginia,united states of america,north america,38.8051095,-77.0470229,39.7837304,-100.445882,37.1232245,-78.4927721
coney island,"",united states of america,north america,40.57580705,-73.9921752747698,39.7837304,-100.445882,39.7837304,-100.445882
santa croce mare (trieste),"",italy,europe,,,42.6384261,12.674297,42.6384261,12.674297
ramlet el bayda,beirut,lebanon,asia,,,33.8750629,35.843409,33.88922645,35.5025585289523
halifax,ns,canada,north america,44.648618,-63.5859487,61.0666922,-107.991707,45.1960403,-63.1653789
montreal,qc,canada,north america,45.5031824,-73.5698065,61.0666922,-107.991707,52.4760892,-71.8258668
toronto,on,canada,north america,43.6534817,-79.3839347,61.0666922,-107.991707,50.000678,-86.000977
castleton-on-hudson,ny,united states of america,north america,42.5308134,-73.7553018,39.7837304,-100.445882,43.1561681,-75.8449946
clearlake,ca,united states of america,north america,38.9582307,-122.626372,39.7837304,-100.445882,36.7014631,-118.755997
henrico,va,united states of america,north america,37.4957023,-77.335257,39.7837304,-100.445882,37.1232245,-78.4927721
new rochelle,ny,united states of america,north america,40.9115386,-73.7826363,39.7837304,-100.445882,43.1561681,-75.8449946
hon gai commune,ha long city,vietnam,asia,,,15.9266657,107.9650855,,
tofino,"",canada,north america,49.1529643,-125.9047083,61.0666922,-107.991707,61.0666922,-107.991707
rogaã…â¡evci,"",slovenia,europe,,,46.1199444,14.8153333,46.1199444,14.8153333
san diego,ca,united states of america,north america,32.7174202,-117.1627728,39.7837304,-100.445882,36.7014631,-118.755997
dar es salaam,jangwani,tanzania,africa,,,-6.5247123,35.7878438,,
dar es salaam,selander,tanzania,africa,,,-6.5247123,35.7878438,,
dar es salaam,mlalakua,tanzania,africa,,,-6.5247123,35.7878438,,
kuala lumpur,"",malaysia,asia,3.1516964,101.6942371,4.5693754,102.2656823,4.5693754,102.2656823
salt lake city,u,united states of america,north america,,,39.7837304,-100.445882,,
auroville,tamil nadu,india,asia,12.0054211,79.8110999,22.3511148,78.6677428,10.9094334,78.3665347
tacloban city,region 8,philippines,asia,11.2430274,125.0081402,12.7503486,122.7312101,,
chapel hill,north carolina,united states of america,north america,35.9131542,-79.05578,39.7837304,-100.445882,35.6729639,-79.0392919
owerri,imo state,nigeria,africa,5.489736,7.0341973,9.6000359,7.9999721,5.5859456,7.0669651
oguta,imo state,nigeria,africa,5.710435,6.809365,9.6000359,7.9999721,5.5859456,7.0669651
owerri municipal,imo state,nigeria,africa,,,9.6000359,7.9999721,5.5859456,7.0669651
roanoke,virginia,united states of america,north america,37.270973,-79.9414313,39.7837304,-100.445882,37.1232245,-78.4927721
"davao, mati, bukidnon, socsksargen","10, 11 and 12",philippines,asia,,,12.7503486,122.7312101,,
hua hin,prachuabkirikhan,thailand,asia,,,14.8971921,100.83273,,
dar es salaam,kinondoni,tanzania,africa,,,-6.5247123,35.7878438,,
hua hin,prachuapkhirikan,thailand,asia,,,14.8971921,100.83273,,
ansan-si,gyeonggi-do,korea,asia,,,36.638392,127.6961188,37.2752,127.0095
jeonju-si,jeollabuk-do,korea,asia,35.8237631,127.1472805,36.638392,127.6961188,35.8198999,127.109
margate,kent,united kingdom of great britain & northern ireland,europe,,,,,,
suwon-si,gyeonggi-do,korea,asia,37.2633325,127.0287472,36.638392,127.6961188,37.2752,127.0095
sintok,kedah,malaysia,asia,6.449246,100.5014195,4.5693754,102.2656823,5.8098265,100.6715035
malabon city,ncr,philippines,asia,,,12.7503486,122.7312101,,
obinze,imo state,nigeria,africa,5.4101582,6.9584478,9.6000359,7.9999721,5.5859456,7.0669651
ezinihitte mbiase,imo state,nigeria,africa,,,9.6000359,7.9999721,5.5859456,7.0669651
mbeya,"",tanzania,africa,-8.906508,33.468672,-6.5247123,35.7878438,-6.5247123,35.7878438
pagudpud,ilocos norte region 1,philippines,asia,18.5593916,120.7869782,12.7503486,122.7312101,,
volketswil/uster,zurich,switzerland,europe,,,46.7985624,8.2319736,47.4133024,8.656394
huntington,west virginia,united states of america,north america,38.4192496,-82.445154,39.7837304,-100.445882,38.4758406,-80.8408415
camber,east sussex,united kingdom of great britain & northern ireland,europe,,,,,,
odiongan,romblon,philippines,asia,12.3999329,121.9818506,12.7503486,122.7312101,12.5886411,122.1933517
dahab,south sinai,egypt,africa,28.4963633,34.5145652,26.2540493,29.2675469,28.64495635,33.8711312956512
sindangan,zamboanga del norte,philippines,asia,8.2343274,122.999338,12.7503486,122.7312101,8,122.666667
dar es sallam,ilala,tanzania,africa,,,-6.5247123,35.7878438,,
dar es salaam,sindo/kigamboni/dar es salaam,tanzania,africa,,,-6.5247123,35.7878438,,
dar es salaam,ilala,tanzania,africa,,,-6.5247123,35.7878438,,
"oesterbro, copenhagen","capital area, zealand",denmark,europe,,,55.670249,10.3333283,,
shinyanga,iselamanagazi,tanzania,africa,,,-6.5247123,35.7878438,,
mbeya,"iyela, kabwe, mbeya",tanzania,africa,,,-6.5247123,35.7878438,,
ubungo,dar es salaaam,tanzania,africa,,,-6.5247123,35.7878438,,
ilala,dar es salaam,tanzania,africa,-6.8294091,39.2628893,-6.5247123,35.7878438,-6.8160837,39.2803583
"",bangkok,thailand,asia,13.8245796,100.6224463,14.8971921,100.83273,13.8245796,100.6224463
tueng,chiang rai,thailand,asia,19.5759017,99.8242693,14.8971921,100.83273,19.7589517,99.6734592
muang,rayong,thailand,asia,,,14.8971921,100.83273,12.7943716,101.3705344
batumi,ajara,georgia,europe,41.6509502,41.6360085,41.6809707,44.0287382,41.67315085,41.9196652130038
tallahassee,florida,united states of america,north america,30.4380832,-84.2809332,39.7837304,-100.445882,27.7567667,-81.4639835
st petersburg,florida,united states of america,north america,27.7703796,-82.6695085,39.7837304,-100.445882,27.7567667,-81.4639835
fairhaven,massachusetts,united states of america,north america,41.6376043,-70.9036487,39.7837304,-100.445882,42.3788774,-72.032366
owerri,imo,nigeria,africa,5.489736,7.0341973,9.6000359,7.9999721,5.5859456,7.0669651
"dhaka, mymensingh","",bangladesh,asia,,,24.4769288,90.2934413,24.4769288,90.2934413
saint petersburg,fl,united states of america,north america,27.7703796,-82.6695085,39.7837304,-100.445882,27.7567667,-81.4639835
varkala,kerala,india,asia,8.7342288,76.7257086,22.3511148,78.6677428,10.3528744,76.5120396
wadenswil,zurich,switzerland,europe,47.2278988,8.6701365,46.7985624,8.2319736,47.4133024,8.656394
davao city,region xi,philippines,asia,7.0648306,125.6080623,12.7503486,122.7312101,,
mariupol,donetsk,ukraine,europe,47.0957648,37.5499621,49.4871968,31.2718321,47.9212914,37.7809825
bexley,portsmouth,united kingdom of great britain & northern ireland,europe,,,,,,
bangpli,samutprakarn,thailand,asia,,,14.8971921,100.83273,,
pathio,chumphon,thailand,asia,10.7099672,99.3179462,14.8971921,100.83273,10.3782724,99.0077685
pranburi,prachuap kiri khan,thailand,asia,,,14.8971921,100.83273,12.0432669,99.7487235
ban krut,prachuap kiri khan,thailand,asia,11.3483037,99.5565927,14.8971921,100.83273,12.0432669,99.7487235
eschenbach,lucerne,switzerland,europe,47.1330227,8.317969,46.7985624,8.2319736,47.0908207,8.1719611
kobuleti,ajara,georgia,europe,41.8113601,41.7793202,41.6809707,44.0287382,41.67315085,41.9196652130038
bangpu,samutprakarn,thailand,asia,,,14.8971921,100.83273,,
muang,chumphon,thailand,asia,,,14.8971921,100.83273,10.3782724,99.0077685
limassol / paphos,"",cyprus,europe,,,34.9823018,33.1451285,34.9823018,33.1451285
warri,delta state,nigeria,africa,,,9.6000359,7.9999721,5.5273061,6.1784167
chittagong,"",bangladesh,asia,22.3336887,91.8342162,24.4769288,90.2934413,24.4769288,90.2934413
khulna,"",bangladesh,asia,22.8171664,89.563759,24.4769288,90.2934413,24.4769288,90.2934413
chicago - hermosa (northwest of the city),il,united states of america,north america,,,39.7837304,-100.445882,40.0796606,-89.4337288
"chicago - 40th ward, western & peterson (north of the city)",il,united states of america,north america,,,39.7837304,-100.445882,40.0796606,-89.4337288
"ikorodu , lagos",lagos,nigeria,africa,,,9.6000359,7.9999721,6.5269033,3.5774005
kigoma,kigoma,tanzania,africa,-4.8770915,29.649101,-6.5247123,35.7878438,-4.5126571,30.0050533
bumthang,"",bhutan,asia,,,27.549511,90.5119273,27.549511,90.5119273
duluth,mn,united states of america,north america,46.7729322,-92.1251218,39.7837304,-100.445882,45.9896587,-94.6113288
pacific palisades,ca,united states of america,north america,34.0480643,-118.5264706,39.7837304,-100.445882,36.7014631,-118.755997
manila city,"",philippines,asia,,,12.7503486,122.7312101,12.7503486,122.7312101
manila,"",philippines,asia,14.5948914,120.9782618,12.7503486,122.7312101,12.7503486,122.7312101
corbera de llobregat,barcelona,spain,europe,41.4166171,1.9338636,39.3260685,-4.8379791,,
el perellã³,tarragona,spain,europe,,,39.3260685,-4.8379791,,
koh jum,krabi,thailand,asia,7.81967595,98.9729283997932,14.8971921,100.83273,8.1111653,99.1097298
london,london,united kingdom of great britain & northern ireland,europe,,,,,,
na jomtien,pattaya,thailand,asia,,,14.8971921,100.83273,,
luaunceston,tasmania,australia,oceania,,,-24.7761086,134.755,-42.035067,146.6366887
fremantle,wa,australia,oceania,-32.0534086,115.7586172,-24.7761086,134.755,-25.2303005,121.0187246
