Column,brand_name,name,new_name,id,sum
114,3d buggles,3d buggles,3d buggles,,1
115,3m,3M,3m,Q159433,14
116,4,ALDI,aldi,Q125054,1
117,4 aces cigar,4 Aces Cigar,4 aces cigar,,0
118,4 k's,"Good Times, USA","good times, usa",,1
119,4 you,Incom,incom,,1
120,48 kopeek,Nestlé,nestlé,Q160746,1
121,4bro,Ethno IQ GmbH,ethno iq gmbh,,11
122,4k,4k,4k,,88
123,5-hour energy,Living Essentials LLC,living essentials,,7
124,5-star energy drink,Multipac,multipac,,7
125,5 alive,The Coca-Cola Company,the coca-cola company,Q3295867,87
126,5 gum,"Mars, Incorporated","mars, incorporated",Q695087,2
127,5 hour energy,Living Essentials,living essentials,,13
128,5 star,Mondelez International,mondelez international,Q12857502,122
129,51,Companhia Muller de Bebidas,companhia muller de bebidas,,3
130,555,555,555,,2
131,555 sardines,Ligo Sardines and Mackerel,ligo sardines and mackerel,,1
132,555é¦™çƒÿ/state express 555,State Express 555,state express 555,,4
133,555é¦™çƒÿç›’/state express 555,State Express 555,state express 555,,1
134,594 hi pro vit,Charoen Pokphand,charoen pokphand,Q611064,1
135,5alive,5alive,5alive,,21
136,5star,5Star,5star,,1
137,5th avenue,5th avenue,5th avenue,,1
138,7-11 cups,Seven & I Holdings Co.,seven & i holdings co.,Q639447,5
139,7-11 ice cube,Seven & I Holdings Co.,seven & i holdings co.,Q639447,2
140,7-days,Chipita,chipita,,1
141,7-eleven,Charoen Pokphand,charoen pokphand,Q611064,2
142,7-eleven,CP,cp,,1
143,7-eleven,Producer correction: Reitan Group / Seven & I Holdings Co.,producer correction: reitan group / seven & i holdings co.,,4
144,7-eleven,Producer correction: Seven & I Holdings Co.,producer correction: seven & i holdings co.,,14
145,7-eleven,Reitan AS,reitan as,Q3357065,61
146,7-eleven,Reitan Group / Seven & I Holdings Co.,reitan group / seven & i holdings co.,,8
147,7-eleven,Seven-Eleven Co,seven-eleven co,,1
148,7-eleven,Seven & I Holdings Co.,seven & i holdings co.,Q639447,21
149,7-eleven,Seven & i Holdings?,seven & i holdings co.,,3
150,7-eleven coffee cups,Reitan AS,reitan as,Q3357065,610
151,7-eleven cool springs water,Reitan AS,reitan as,Q3357065,37
152,7-eleven plastic lid,Reitan AS,reitan as,Q3357065,1
153,7-eleven slurpee cups,Reitan AS,reitan as,Q3357065,280
154,7-eleven strawberry lemon,Reitan AS,reitan as,Q3357065,3
155,7-eleven styrofoam,Reitan AS,reitan as,Q3357065,1
156,7-eleven surpee straws,Reitan AS,reitan as,Q3357065,526
157,"7-eleven, 7 select",Reitan AS,reitan as,Q3357065,1
158,7-select,Charoen Pokphand,charoen pokphand,Q611064,15
159,7-up,PepsiCo,pepsico,Q334800,9
160,7 11 plastic bags,7 11 Plastic Bags,7 11 plastic bags,,0
161,7 11 water bottle,7 11 Water Bottle,7 11 water bottle,,0
162,7 belo,Grupo Arcor,grupo arcor,Q380022,11
163,7 days,7 Days,7days,,7
164,7 days,Chipita,chipita,,3
165,7 days,Chipita International,chipita international,,1
166,7 days,Chipita S.A.,chipita s.a.,,5
167,7 days,Muchico Bakery - Chipita,muchico bakery - chipita,,1
168,7 days croissant,Mondelez International,mondelez international,Q12857502,3
169,7 days dessert wrapper,7 Days,7days,,5
170,7 eleven,Reitan AS,reitan as,Q3357065,18
171,7 eleven,Seven & I Holdings Co.,seven & i holdings co.,Q639447,11
172,7 eleven lid,Reitan AS,reitan as,Q3357065,1
173,7 povos,7 Povos Food Products,7 povos food products,,1
174,7 select,CP,cp,,2
175,7 select,CP ALL,cp all,Q5013767,2
