brand_name,parent_company_name,id,link,country,sum,validated
red solo cup,"dart container, solo",Q5225569,https://www.wikidata.org/wiki/Q5225569,"United States of America, United States of America, United States of America, United States of America",26,FALSE
publix,publix,Q672170,https://www.wikidata.org/wiki/Q672170,"United States of America, United States of America, United States of America, United States of America, United States of America, United States of America, United States of America, United States of America, United States of America, United States of America, United States of America",26,FALSE
balisto,"mars, incorporated, mars, incorporated",Q695087,https://www.wikidata.org/wiki/Q695087,"Switzerland, Switzerland, Switzerland, Germany, France, France, Switzerland, Germany, France",26,FALSE
bailley,parle agro,Q7138871,https://www.wikidata.org/wiki/Q7138871,India,26,FALSE
anandham,vvv anandham sesame oils and sons,,,India,26,FALSE
bebida,"industria lechera carchi, la favorita",,,"Ecuador, Ecuador",26,FALSE
bonavide,sahabat tirta makmur,,,Indonesia,26,FALSE
bottle,bottle,,,Philippines,26,FALSE
casoni,casoni,,,Argentina,26,FALSE
ðšð¾ð·ð°ñ†ñœðºð° ð ð°ð´ð°,ðšð¾ð·ð°ñ†ñœðºð° ð ð°ð´ð°,,,Ukraine,26,FALSE
durstlöscher,riha wesergold getränke gmbh & co. kg,,,Germany,26,FALSE
enegy drink,azam bakhresa group,,,Tanzania,26,FALSE
fizz up clear lemon,ast beverage ltd,,,Bangladesh,26,FALSE
gambrinus,"äeskã¡ republika, gambrinus",,,"Czech Republic, Czech Republic",26,FALSE
intra food,intra food,,,"Indonesia, Indonesia",26,FALSE
keiko jammin' milkee paste,keiko jammin' milkee paste,,,Philippines,26,FALSE
liptol,confiteca,,,Ecuador,26,FALSE
masan consumer,masan consumer,,,"Vietnam, Vietnam",26,FALSE
mo-pride,metl,,,Tanzania,26,FALSE
mo passion,"metl, metl group, tanzania distillers ltd",,,"Tanzania, Tanzania, Tanzania, Tanzania, Tanzania",26,FALSE
nemiroff,nemiroff,,,Ukraine,26,FALSE
novadek,novadek,,,Nigeria,26,FALSE
panjwani,"panjwani foods, panjwani food products",,,"India, India, India, India, India",26,FALSE
pilsener,"cerveceria nacional, cerveceria nacional",,,"Ecuador, Ecuador, Ecuador",26,FALSE
s3 (mineral water),s3 (mineral water),,,Indonesia,26,FALSE
sitabac,sitabac,,,Cameroon,26,FALSE
super pack,multipro consumer product,,,Nigeria,26,FALSE
supercoffee,"supercoffee, supercoffee (thailand)",,,"Thailand, Thailand, Thailand, Thailand",26,FALSE
tilo,sri vaari enterprises,,,"India, India",26,FALSE
vinegar bangus,vinegar bangus,,,"Philippines, Philippines",26,FALSE
vivalait,vivalait,,,Burkina Faso,26,FALSE
nutella,ferrero spa,Q269792,https://www.wikidata.org/wiki/Q269792,"Canada, Czech Republic, Slovenia, Canada, Greece, Cameroon, Slovenia, Slovenia, Switzerland, United States of America, Australia, France, France, France, France, France, Switzerland, Philippines, Argentina, Australia",25,TRUE
